"Field1","Field2_Text","Field2_Link","Field3_Text"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Turntoo initiative"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Philips"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Hugh Whitehead"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Irene Gallou"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","FAO, Ravensbourne, London 2010"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Herzog & de Meuron, Forum La Caixa, Madrid, 2008"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Neo‐Modernism"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Robert Venturi"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Philip Johnson"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Disney Corporation"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","The Language of Post‐Modern Architecture"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Kester Rattenbury"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Peter Zumthor"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Peter Eisenman"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Rem Koolhaas"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Communication"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Radical Post‐Modernism (RPM)"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Minoru Takeyama"
